"date","shours_u","shours_a","qhours_u","qhours_a"
1993-04-01,15727915524.2264,15848711520.6993,41320816360.898,41509064956.9799
1993-05-01,15861561560.5995,15890964885.3586,41443575211.8069,41647301468.2224
1993-06-01,16172801479.1445,15937585249.0259,41997880613.3839,41799527334.787
1993-07-01,16298410321.6883,15984205612.6932,42210923104.0746,41951753201.3516
1993-08-01,16340725264.3815,16029572557.4593,42319787448.4209,42103268156.3494
1993-09-01,16132291018.279,16074939502.2253,42380848822.921,42254783111.3473
1993-10-01,16164686317.5749,16109071066.6794,42804272953.0295,42372551822.4564
1993-11-01,16106298697.2001,16143202631.1334,42570540876.8738,42490320533.5656
1993-12-01,16084371349.0721,16163859635.1619,42510018642.8147,42575631015.9271
1994-01-01,15883294727.2129,16184516639.1903,42122536771.4172,42660941498.2887
1994-02-01,15958346137.8067,16210858823.5047,42520427373.9653,42749865744.4058
1994-03-01,16083986723.0462,16237201007.8192,42752170628.4113,42838789990.5229
1994-04-01,16160055631.6109,16280851628.0838,42759118333.9701,42947366930.052
1994-05-01,16295098923.5894,16324502248.3485,42852217613.1655,43055943869.581
1994-06-01,16608945609.1474,16373729379.0288,43357795043.1798,43159441764.5828
1994-07-01,16737161218.7042,16422956509.7091,43522109562.3077,43262939659.5847
1994-08-01,16783834659.3165,16472681952.3942,43595675414.0145,43379156121.943
1994-09-01,16579758911.133,16522407395.0793,43621438295.8751,43495372584.3014
1994-10-01,16624175909.0431,16568560658.1476,44055596735.0854,43623875604.5123
1994-11-01,16577809987.2825,16614713921.2158,43832598968.0315,43752378624.7233
1994-12-01,16568851522.2901,16648339808.3799,43783858465.8986,43849470839.011
1995-01-01,16380743783.5665,16681965695.5439,43408158326.4273,43946563053.2988
1995-02-01,16445246303.6557,16697758989.3537,43780762001.3354,44010200371.776
1995-03-01,16560337998.3906,16713552283.1635,43987218328.1416,44073837690.2532
1995-04-01,16594492428.4748,16715288424.9477,43925106418.3652,44113355014.4471
1995-05-01,16687621241.9727,16717024566.7318,43949146082.2255,44152872338.641
1995-06-01,16950995139.0736,16715778908.955,44381261730.987,44182908452.3901
1995-07-01,17028737960.1732,16714533251.1781,44472114468.8622,44212944566.1392
1995-08-01,17027257629.608,16716104922.6857,44454082827.359,44237563535.2875
